id,class,class_area_m2,total_area_m2,prop_area,method
angle_0_dist_100,bulrush,729.8823610973815,836.3127627861772,0.8727385179030119,manual
angle_0_dist_100,hordeum,106.43040168879574,836.3127627861772,0.1272614820969881,manual
angle_0_dist_125,bulrush,1076.3845739697572,1076.3845739697572,1,manual
angle_0_dist_150,bulrush,1287.5717996818832,1325.178505625618,0.9716214036191444,manual
angle_0_dist_150,hordeum,37.60670594373478,1325.178505625618,0.02837859638085559,manual
angle_0_dist_25,island,123.57512468919909,123.57512468919909,1,manual
angle_0_dist_50,bulrush,230.85782696867744,369.17589046562614,0.6253328912608732,manual
angle_0_dist_50,island,138.31806349694872,369.17589046562614,0.37466710873912684,manual
angle_0_dist_75,bulrush,610.2703495452328,610.2703495452328,1,manual
angle_112.5_dist_100,bulrush,846.0507623874016,860.4524425205246,0.9832626657541512,manual
angle_112.5_dist_100,hordeum,13.997246298897366,860.4524425205246,0.01626730962363848,manual
angle_112.5_dist_100,island,0.40443383422564555,860.4524425205246,4.700246222103071e-4,manual
angle_112.5_dist_125,bulrush,1106.1000256027296,1106.1000256027296,1,manual
angle_112.5_dist_150,bulrush,1349.4558169576553,1349.4558169576553,1,manual
angle_112.5_dist_25,island,123.51533391314877,123.51533391314877,1,manual
angle_112.5_dist_50,bulrush,5.368196374233575,369.1589685478829,0.014541692960487499,manual
angle_112.5_dist_50,island,363.7907721736494,369.1589685478829,0.9854583070395125,manual
angle_112.5_dist_75,bulrush,402.1499393933387,606.7968438950725,0.6627423056651207,manual
angle_112.5_dist_75,hordeum,0.14101598125022508,606.7968438950725,2.3239405852053114e-4,manual
angle_112.5_dist_75,island,204.50588852048358,606.7968438950725,0.33702530027635874,manual
angle_135_dist_100,bulrush,860.6837087297735,860.6837087297735,1,manual
angle_135_dist_125,bulrush,1106.3358043233811,1106.3358043233811,1,manual
angle_135_dist_150,bulrush,1349.8151256778851,1349.8151256778851,1,manual
angle_135_dist_25,island,123.74829231417435,123.74829231417435,1,manual
angle_135_dist_50,bulrush,131.15388758551165,369.39305507675147,0.3550523914377894,manual
angle_135_dist_50,island,238.23916749123984,369.39305507675147,0.6449476085622107,manual
angle_135_dist_75,bulrush,615.0417662868151,615.0417662868151,1,manual
angle_157.5_dist_100,bulrush,860.3633204203729,860.3633204203729,1,manual
angle_157.5_dist_125,bulrush,1105.9685987082055,1105.9685987082055,1,manual
angle_157.5_dist_150,bulrush,1349.344696364435,1349.344696364435,1,manual
angle_157.5_dist_25,island,123.57625281704912,123.57625281704912,1,manual
angle_157.5_dist_50,bulrush,187.90435907985585,369.17701859347596,0.5089817340086631,manual
angle_157.5_dist_50,island,181.2726595136201,369.17701859347596,0.4910182659913369,manual
angle_157.5_dist_75,bulrush,614.7727077945896,614.7727077945896,1,manual
angle_180_dist_100,bulrush,860.1788715168997,860.1788715168997,1,manual
angle_180_dist_125,bulrush,1105.7790732294086,1105.7790732294086,1,manual
angle_180_dist_150,bulrush,1349.1828100179614,1349.1828100179614,1,manual
angle_180_dist_25,island,123.3895476578737,123.3895476578737,1,manual
angle_180_dist_50,bulrush,191.3524818533865,368.9897493703753,0.5185848175454747,manual
angle_180_dist_50,island,177.63726751698877,368.9897493703753,0.48141518245452525,manual
angle_180_dist_75,bulrush,614.5910792107412,614.5910792107412,1,manual
angle_202.5_dist_100,barren,78.83075383849989,860.3994205115616,0.09162111451868488,manual
angle_202.5_dist_100,bulrush,724.0905527154714,860.3994205115616,0.8415748958605225,manual
angle_202.5_dist_100,hordeum,57.478113957590324,860.3994205115616,0.06680398962079259,manual
